Id,Source,ObjectType,ObjectName,ObjectLabel,TopicNumber,ObjectParent,DefinedBy,TaxonomyNetwork
106,Other,[Heading],SupplementaryInformation,Supplementary Information,XXX,FinancialReport,http://www.aicpa.org/Research/Standards/AuditAttest/DownloadableDocuments/AU-00551.pdf,None
107,Other,[TOPIC],OtherInformation,Other Information,XXX,SupplementaryInformation,http://financialreportontology.wikispaces.com/Common+Practice,None
108,ASC,[TOPIC],ExtractiveActivitiesOilAndGas,Extractive Activities-Oil and Gas,932,IndustrySpecific,https://asc.fasb.org/topic&trid=2145477,None
109,ASC,[TOPIC],ContractorsFederalGovernment,Contractors-Federal Government,912,IndustrySpecific,https://asc.fasb.org/topic&trid=2145070,None
110,ASC,[TOPIC],TemporaryEquity,Temporary Equity,480,FinancialStatementAccounts,https://asc.fasb.org/extlink&oid=27011957&loc=SL6540498-122764,None
111,ASC,[TOPIC],DepositoryAndLending,Depository and Lending,942,IndustrySpecific,https://asc.fasb.org/topic&trid=2209208,None
112,ASC,[TOPIC],BrokersAndDealers,Brokers and Dealers,940,IndustrySpecific,https://asc.fasb.org/topic&trid=2176223,None
113,ASC,[TOPIC],Insurance,Insurance,944,IndustrySpecific,https://asc.fasb.org/topic&trid=2303980,None
114,ASC,[TOPIC],InvestmentCompanies,Investment Companies,946,IndustrySpecific,https://asc.fasb.org/topic&trid=2303982,None
115,ASC,[TOPIC],MortgageBanking,Mortgage Banking,948,IndustrySpecific,https://asc.fasb.org/topic&trid=2176497,None
116,ASC,[TOPIC],ExtractiveActivitiesMining,Extractive Activities-Mining,930,IndustrySpecific,https://asc.fasb.org/topic&trid=2155974,None
117,ASC,[TOPIC],NotForProfitEntities,Not-for-Profit Entities,958,IndustrySpecific,https://asc.fasb.org/topic&trid=2209682,None
118,ASC,[TOPIC],PlanAccountingDefinedBenefitPensionPlans,Plan Accounting-Defined Benefit Pension Plans,960,IndustrySpecific,https://asc.fasb.org/topic&trid=2210240,None
119,ASC,[TOPIC],PrinciplesOfConsolidation,Principles of Consolidation,235,OrganizationConsolidationPresentationFinancialStatements,https://asc.fasb.org/topic&trid=2122149,None
120,ASC,[TOPIC],BasisOfReporting,Basis of Reporting,235,BasisOfFinancialStatementPresentation,https://asc.fasb.org/topic&trid=2122149,None
121,ASC,[TOPIC],CommercialAndIndustrial,Commercial and Industrial,985,IndustrySpecific,https://asc.fasb.org/area&trid=2122797,None
